question_id,qemb_pca_0,qemb_pca_1,qemb_pca_2,qemb_pca_3,qemb_pca_4,qemb_pca_5,qemb_pca_6,qemb_pca_7,qemb_pca_8,qemb_pca_9,qemb_pca_10,qemb_pca_11,qemb_pca_12,qemb_pca_13,qemb_pca_14,qemb_pca_15,qemb_pca_16,qemb_pca_17,qemb_pca_18,qemb_pca_19,qemb_pca_20,qemb_pca_21,qemb_pca_22,qemb_pca_23,qemb_pca_24,qemb_pca_25,qemb_pca_26,qemb_pca_27,qemb_pca_28,qemb_pca_29,qemb_pca_30,qemb_pca_31,qemb_pca_32,qemb_pca_33,qemb_pca_34,qemb_pca_35,qemb_pca_36,qemb_pca_37,qemb_pca_38,qemb_pca_39,qemb_pca_40,qemb_pca_41,qemb_pca_42,qemb_pca_43,qemb_pca_44,qemb_pca_45,qemb_pca_46,qemb_pca_47,qemb_pca_48,qemb_pca_49,question_num_options,block_Cognitive tests,block_Demographics,block_Economic preferences,block_Personality,qtype_MC,qtype_Matrix,qtype_TE
QID125_r11,0.47495416,0.503494,0.016573718,-0.47423795,0.10364731,0.04751233,-0.0065620835,-0.057046827,0.054014534,-0.03206129,0.03667068,0.060120404,-0.04509313,-0.031141743,0.05320935,0.010182713,0.05628209,-0.00966169,-0.06318217,0.018472787,-0.0023916734,0.044211656,-0.01282726,0.10403577,-0.007281079,-0.09066439,-0.04274872,0.07611608,0.135746,-0.021264423,-0.030579133,-0.044940297,0.021394568,-0.0924811,-0.009288928,0.062174372,-0.015597406,0.06536966,-0.059104588,0.16907348,0.08175269,0.013510043,0.0118346885,-0.08901458,0.0024542813,-0.0007656147,0.008178741,-0.029032849,-0.019728702,0.05173265,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r12,0.4837112,0.49510765,0.054813664,-0.51625466,0.102186225,0.05105056,-0.021148993,-0.029542455,0.033987585,0.017834635,0.057332892,0.10152238,0.012492702,-0.051354457,0.020063818,0.00084640126,-0.057980634,-0.03367484,-0.10370424,0.02017455,-0.05934728,-0.0034593767,0.006855977,0.046646528,0.014477078,-0.033981655,-0.062886745,0.11833235,0.06871705,-0.0029003154,0.047506355,0.010029196,-0.026504302,-0.0010102916,0.01954428,0.070101745,0.044206448,0.033365004,-0.06294935,0.12632969,0.07682049,-0.043188266,-0.0031484452,-0.07175426,-0.019632932,-0.02602147,0.048604034,-0.031412043,-0.077095814,0.03503369,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r13,0.43269038,0.46598768,-0.013018446,-0.58055407,0.12164697,0.019262953,-0.00074049603,-0.11608268,0.029740954,-0.018723385,0.10022676,-0.036222454,-0.0683294,-0.060482614,-0.016410576,0.027946906,0.067725636,0.047868982,-0.073512584,-0.019377476,0.017925894,0.04994657,0.003928515,0.035787582,-0.0025876982,-0.05863765,-0.016318737,-0.047805864,-0.05256856,-0.03098076,-0.04490384,0.020607667,0.021082234,-0.0013493393,-0.042751964,-0.03630424,-0.064918585,0.0014456363,0.037336253,-0.019323839,0.021276731,0.0052187094,0.016222782,-0.08790223,0.020648398,-0.03268686,0.014000788,-0.02043429,0.054301605,0.03678376,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r14,0.48035076,0.4343124,0.06199369,-0.5574207,0.10512848,0.010649503,0.0087737255,-0.042556006,0.03337782,-0.007155325,0.10283916,0.015465391,0.023645839,-0.026785819,-0.0013771487,0.009007362,-0.0019317996,-0.01890464,0.008002011,-0.027229413,0.023266358,-0.020307587,0.018033013,0.0019999954,-0.06261277,0.05613489,-0.004054462,0.01859387,0.009458567,-0.055502612,0.033476967,-0.037987478,-0.06908977,-0.04645009,-0.009723836,-0.09541894,-0.022045054,0.018548185,-0.014762048,0.021036012,-0.10803307,-0.019725153,0.07552191,0.029200705,-0.08478657,0.02096901,-0.01481684,-0.047630623,-0.04573185,-0.06246994,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r15,0.44777504,0.41743463,-0.017367007,-0.52800894,0.09452433,0.004091758,-0.0041110567,-0.026168983,0.037712015,0.009894852,0.050999872,-0.11084827,-0.14235568,0.029718475,-0.031691056,0.005190821,0.14312571,0.020564074,0.06590695,-0.059550997,0.10270703,0.08512103,-0.009169435,0.0055594957,-0.073505156,0.052827355,-0.0017951393,-0.17329574,-0.1140495,0.01503272,0.015386883,-0.0839958,-0.020416236,-0.08935982,0.0061843027,-0.0478529,-0.0459233,-0.017238138,0.02433896,-0.05763417,-0.011605143,-0.0325874,-0.034350213,-0.016478643,0.011837667,-0.049318258,0.0049264617,0.033223823,0.0056608682,0.042970266,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r16,0.49780583,0.50817466,0.0056635365,-0.59571135,0.12879589,0.057310566,0.03063406,-0.053748608,0.023672713,-0.019742452,0.033841405,-0.110906065,-0.08069387,0.008840375,0.016992467,-0.035365902,0.06375744,0.029592285,-0.033478085,0.027263531,0.058595944,0.06678231,-0.040748898,-0.02781268,-0.00086090906,0.031458426,0.04169803,-0.061150867,-0.07044231,0.0016070146,-0.011859872,0.0123536,0.03625557,-0.006702024,0.0029164972,0.022625918,-0.068627626,-0.018683732,0.028232757,-0.01901545,0.025281604,-0.015223279,-0.0019532912,-0.044452302,-0.0003499584,-0.0022307292,0.050194245,0.018120565,0.02765192,0.014170628,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r17,0.4888871,0.42159486,0.062287133,-0.4278966,0.07208272,0.011891475,0.00468295,-0.03200897,0.015969053,0.0065976135,0.09587886,-0.018024419,0.09886823,-0.064451344,0.001733786,-0.042362034,-0.10793377,-0.089424476,-0.006259322,-0.015352293,-0.024056893,-0.08077874,0.07237019,-0.057458505,-0.12652701,0.040106744,-0.05341104,0.08502912,-0.14607593,0.004834393,-0.038550485,0.09790033,-0.046958752,-0.095732234,0.005952889,-0.03389969,0.078710176,0.020193426,0.0052148737,-0.022830296,-0.04939699,-0.074263245,0.1161445,0.054592106,0.0035998197,0.022764288,-0.0029223564,0.04371632,-0.105591334,-0.06774059,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r18,0.498443,0.44785115,0.08796962,-0.4789662,0.14825742,0.052643847,-0.021705743,0.044287942,0.083619654,-0.0071848943,0.09921834,0.008027751,-0.034808587,0.015265,0.06253149,0.017585779,-0.053301938,0.009382815,0.0059496597,0.024041107,0.045229454,0.053984195,0.15504104,-0.06426243,-0.06299136,-0.0057308767,0.047043618,0.06800306,0.1065302,0.04074252,0.013703675,-0.028462883,-0.0278595,0.022208286,0.07452989,-0.055948917,0.07288475,0.0037867092,-0.01945494,-0.013848229,0.006659479,0.09137319,-0.013501273,0.060633793,-0.050187316,0.12997827,-0.017220197,0.0019015647,-0.07161371,0.0140870325,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r19,0.48371175,0.47446835,0.08270933,-0.5005939,0.12822767,0.026121601,0.045620307,-0.026675416,0.015747689,0.04089234,0.041909963,0.03668614,0.114794716,-0.061568227,-0.010988173,-0.016312798,-0.13248935,-0.038400315,0.015219119,0.040065188,0.025380265,-0.07274574,0.02304269,-0.006369058,-0.037357304,0.021512637,0.059357278,0.009256936,-0.078282945,-0.012719788,-0.04232713,0.024079844,0.01880927,0.024984403,-0.04549799,-0.033699486,-0.06156391,-0.04521978,0.040358957,-0.07006142,-0.012707687,-0.061609663,-0.066710964,-0.037350446,0.013586178,0.029374633,0.05457142,0.005649953,0.0049296943,0.004875581,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r2,0.48201853,0.48453698,0.04644841,-0.50995857,0.094625846,0.063860536,0.040796157,-0.016735485,0.019813826,0.025638793,0.07469106,0.06633037,0.08558498,0.03632473,0.014849825,-0.04730837,-0.0737822,-0.030878896,-0.015886184,-0.04102444,0.102089226,-0.033741668,-0.03421069,0.0055002905,-0.025222896,-0.046396703,0.03809512,-0.047343172,-0.044825163,-0.0581022,-0.043096256,0.09127691,0.027250933,0.14737812,-0.0071557215,0.028105658,-0.010657093,-0.07729967,0.03685929,-0.116615295,-0.07174826,0.0011764606,-0.0354432,0.055089656,0.04071292,0.039092325,-0.036672167,0.03994913,0.068366654,-0.03084938,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r20,0.5128881,0.48880163,0.10328528,-0.42689136,0.14521974,0.008078723,-0.011198437,-0.03274089,0.0005665647,0.016828137,0.10002284,0.013791148,0.069686465,-0.037683707,0.024811672,-0.052113656,-0.10807034,0.027519125,0.0029148303,-0.019098582,0.11282326,-0.0026603409,-0.022223054,0.0041659274,-0.026446799,-0.013501957,0.042618625,-0.05252419,-0.033956252,-0.052448418,-0.016702829,0.03023139,0.049011372,0.21312782,-0.04455126,0.003672106,-0.06497198,-0.0027015826,0.015250959,-0.1302656,-0.0741483,0.019571599,-0.022071399,0.13907246,0.02549383,0.096937716,-0.053233095,0.014884026,0.07039845,-0.023877999,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r21,0.47071838,0.49397737,0.06418759,-0.5348853,0.10930201,0.024430344,0.00971236,-0.012706487,0.020126263,0.06087548,0.051283926,0.027984584,0.00904534,-0.031109232,0.023981702,0.0413491,-0.018096799,-0.028436227,-0.079618424,-0.03424145,-0.030326819,-0.03152301,0.0026613667,0.08041085,-0.046172872,-0.071642995,-0.021408148,-0.023154125,0.05724906,0.01873866,0.03645906,0.019281635,-0.04985158,-0.04183577,0.014157762,-0.01092833,0.06267752,-0.05492522,-0.014607805,0.0297851,0.0020295857,-0.01333735,0.07073488,0.0787459,-0.009767604,-0.03701949,-0.046445265,-0.07948886,0.06972522,-0.056281265,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r3,0.4490433,0.48141873,0.09516412,-0.46931377,0.057771195,-0.015417681,0.002024104,-0.07892528,0.038962282,-0.005600468,0.036081035,0.032208797,0.08052879,-0.020177176,0.04362831,-0.06012425,-0.049957592,-0.0387268,0.005542809,-0.04211473,-0.0034267895,-0.0065860962,0.0139098,0.013620619,0.028829584,-0.041251894,0.084942944,0.052738383,0.0774367,3.235895e-07,-0.050893024,0.062434692,-0.054414928,0.09620594,0.024560023,0.06696234,-0.065296456,-0.051116906,-0.05445689,0.09331124,0.024178501,-0.0744974,-0.05292286,0.10093704,-0.02058545,-0.007338105,-0.002664169,0.047830384,-0.025197692,0.009321537,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r4,0.49610263,0.4831795,0.046166334,-0.56938475,0.06949411,0.038808305,-0.0048588417,0.0015235759,0.07000924,0.009128647,0.08232252,0.106414184,0.023240874,-0.023235697,0.042202823,0.024717195,-0.031927697,-0.022797095,-0.019458134,-0.046645578,0.011943785,-0.013868303,-0.0045142425,0.007825386,0.04407167,0.042349923,-0.021297354,0.008520763,0.05973141,-0.05680546,0.03301849,-0.05401913,0.01169216,0.022235379,0.002821352,-0.026314327,0.08933539,0.07627526,0.023015965,0.004479862,0.005622068,0.048968762,0.02673124,-0.09867576,-0.009526523,0.049955584,-0.0014852411,-0.00027235268,-0.018016253,0.03542002,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r5,0.4522599,0.46984005,0.01968865,-0.5719302,0.06768607,0.039918624,0.019296432,-0.050677203,0.06771458,-0.030549763,0.026603775,-0.14735933,-0.066126116,0.0055612144,-0.036499634,-0.050503764,0.043530855,0.10563954,-0.010342208,-0.010410879,0.05631017,0.046281647,-0.019297967,0.0008972994,-0.012533339,0.046205346,-0.0063841306,-0.08202528,-0.07847774,0.027843751,-0.02905249,0.020231368,0.067652486,-0.049811296,-0.032140333,0.007937979,-0.08535368,-0.05178917,0.039396368,-0.049452536,-0.015329661,-0.0083856275,-0.030647492,-0.032282155,0.054351587,-0.048137452,0.011129906,0.028666474,0.034330852,0.08800176,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r6,0.47460526,0.43511808,0.067435116,-0.48997793,0.1522034,0.03915795,-0.024509631,-0.005427868,0.04640898,0.036217,0.14148135,0.038756523,0.012845023,0.025845494,0.0096359085,0.005929829,-0.09561869,-0.047630917,-0.06360997,0.018743807,-0.02170404,-0.06591185,0.030068977,0.02686638,0.009067827,0.0140977865,0.04069737,0.09941756,0.010697121,0.007913,0.06749261,0.032523777,-0.027907463,0.059028167,0.022429917,-0.036751907,0.0400578,-0.012869568,-0.018411843,-0.0741594,-0.048417322,0.0044632275,-0.019345703,0.0865652,-0.07097873,0.00799762,-0.019297237,-0.024089849,-0.03700921,-0.08288373,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r7,0.47805136,0.5028493,0.10006052,-0.51435375,0.1379994,0.02878987,0.02308419,-0.039933395,0.050975364,0.007011329,0.06360597,0.07466646,0.027753545,-0.06624435,0.026252119,0.001996566,-0.08999631,-0.020184102,-0.05679997,0.04545357,-0.03567994,-0.00052412413,-0.005740333,0.06719489,0.005220895,-0.0019336453,0.016985988,0.06402721,0.0022806944,-0.025365574,0.010854492,0.03416408,-0.041734137,-0.019716104,0.01102768,0.041278828,0.062762186,-0.011091592,-0.039227415,0.05548261,0.061342042,-0.078466296,0.02803603,-0.002808704,0.014327061,-0.008904396,0.011658104,-0.044544995,-0.073087625,-0.00042011222,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r8,0.5106313,0.5162949,0.008511598,-0.5808156,0.11575571,0.0649753,0.025424842,-0.030598117,0.0112923905,-0.019092599,0.046788894,-0.08185672,-0.09715631,0.023560658,-0.007442764,-0.04300246,0.061733596,0.03572545,-0.03443438,0.0040151086,0.09274534,0.07394171,-0.044428054,-0.007057361,-0.0021147102,0.012532463,0.036055565,-0.06561719,-0.06441885,-0.0011563428,-0.014706125,-0.008442498,0.031306267,-0.031304613,-0.0017995926,0.034923133,-0.072719336,-0.0071512233,0.04332241,-0.015096577,0.019316562,0.026397334,-0.008139023,-0.03472201,-0.011455162,-0.012859775,0.049785685,0.033281676,0.033034835,0.03211413,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID125_r9,0.50720227,0.5130378,0.02697221,-0.56358516,0.11798511,0.042342886,0.032042388,-0.03218116,0.045847684,-0.025298258,0.07023048,0.028766373,-0.025690848,0.009297319,0.002264474,-0.013484445,-0.017228361,0.024181983,-0.0681383,0.02884008,0.041068546,0.064572036,-0.013859575,-0.006158672,0.03322205,0.0027050646,0.030963967,-0.03713381,0.026771106,-0.003767348,0.03754733,0.015082107,-0.017679835,-0.011509141,-0.025763823,3.105696e-05,-0.03883308,0.0318158,0.017407713,0.0052887285,0.0011187636,0.059368216,-0.012524322,-0.031625025,0.0374212,0.0035762663,-0.007608605,-0.038236562,0.0091899475,0.02889784,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
QID13,0.42106515,0.13387859,-0.19398457,-0.0033448974,0.108996965,0.09809939,-0.17086785,0.11630018,-0.33397144,0.045332007,-0.10229762,-0.0862743,0.13153212,0.17153762,0.026273597,0.10005786,0.0876801,0.030747078,0.099598736,0.12794335,-0.16905834,0.01875098,0.017243937,-0.027639078,0.059813634,0.02625562,-0.0068199732,0.086979784,0.063626766,-0.19197193,-0.15774924,0.09994064,-0.14531174,-0.06455552,0.15820193,-0.16098902,-0.08436182,-0.1802222,0.13983802,-0.032341268,0.23400156,-0.04440619,-0.06896376,-0.118802056,-0.16123433,0.11431634,-0.106550634,0.04850937,-0.14439085,-0.011200459,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
QID14,0.3487352,-0.055693258,0.02691195,-0.008918398,-0.050852474,-0.012890057,-0.22760387,0.3370717,-0.33375463,-0.23167375,-0.25606114,0.12692375,0.15535468,0.13804616,-0.0030088206,0.12606716,0.031224202,0.081464745,-0.0786316,0.10721758,0.0076598795,0.101803206,-0.16110575,-0.035109717,-0.06525664,-0.011021407,0.015570803,0.009461745,-0.1694592,-0.12496239,-0.1567931,0.002399024,-0.08248979,-0.18327469,-0.08621303,0.09001739,-0.072877154,0.095261894,-0.080100626,-0.084544584,-0.0012090541,0.14733951,-0.070302226,0.08776431,-0.09674188,-0.05007409,-0.24451974,-0.051089134,0.2102664,0.016714612,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
QID148,0.4646177,0.051025882,0.045583844,0.1428562,-0.12696946,-0.07331827,-0.07106629,0.011593045,-0.09973273,-0.034804158,0.12585455,0.10223307,-0.020155286,0.01645216,0.26248774,0.22050114,0.08584561,0.115567975,0.15791795,-0.059324924,-0.26190314,-0.046589077,0.40742818,-0.12655723,-0.24256516,-0.28742525,-0.19168475,0.06995186,-0.18330286,0.055297066,0.105272345,0.12645684,0.056728546,0.08536664,0.11620822,0.08070163,-0.11432536,0.10413093,-0.020138234,-0.047938235,-0.050327107,-0.100373805,0.14497958,0.122501954,-0.14565368,-0.070632905,0.0036793414,-0.030848198,0.0030929688,0.16797644,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
QID149,0.58323586,-0.10459842,-0.053188063,0.24910653,0.10706914,0.10450404,-0.19375631,0.08771223,0.1125327,0.14372504,-0.21821707,0.1289167,-0.010993869,0.1646479,-0.3316063,-0.17928866,-0.070852965,0.20883493,-0.23796393,-0.16047895,-0.029758349,-0.06973608,0.0926685,0.13853481,0.041997608,-0.08935689,0.06934139,-0.09985207,0.011413425,0.054283418,0.16753076,-0.04456618,-0.037237756,0.016559197,0.12250991,-0.05560068,-0.06315873,0.018165344,0.05717658,0.017534094,-0.07243517,-0.045419946,0.013131897,0.0016328808,-0.05467093,0.022119176,0.0051905094,0.006663726,0.026495159,0.033771247,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
QID15,0.26878548,0.09529547,-0.08223402,0.10608635,-0.04290919,0.12471518,-0.1243543,0.22119237,-0.42964503,0.07423621,-0.077946216,-0.2685049,0.20319332,0.114336565,-0.0636124,0.052277066,0.055693608,-0.037189085,-0.018574368,0.0959631,-0.060015157,0.11765966,0.03533556,0.20048375,-0.10307341,-0.17931634,0.059575714,0.024376478,0.11064668,-0.01961732,-0.022420324,-0.011331282,0.16323714,0.10389623,-0.0023712101,0.033913147,0.2016814,0.0045354753,-0.18298365,-0.04703023,-0.0025996799,-0.16393568,0.058957815,0.01353607,0.02813386,-0.2324772,-0.04900623,-0.21844313,-0.031820018,-0.022127261,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
QID150,0.52252734,0.099047326,0.11582931,0.19882858,0.18194067,0.07572762,0.0016370433,0.13081415,0.16400935,0.13502572,-0.22531486,-0.020792864,0.16965222,-0.027029587,-0.38946018,-0.08649296,-0.2002764,0.18852119,-0.0796572,-0.07735382,-0.1543089,-0.0758682,0.104631975,-0.05423136,-0.010252244,0.14976451,-0.029306492,0.09199298,0.045377985,0.09365466,-0.06676395,0.022128908,0.09791005,0.06480059,0.13009231,0.12687807,0.04408475,0.045766905,-0.034576677,0.029768385,0.048895694,0.122994006,0.050787933,-0.18800297,0.053195756,-0.103193626,0.08441878,0.042109273,0.025164038,-0.02193211,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
