person_id,n_total_answers,n_missing_answers,n_answered_personality,n_answered_economic,n_answered_cognitive,n_answered_demographics,n_ordinal_items,n_categorical_items,n_text_items,n_multi_select_items,ordinal_mean_normalized,ordinal_std_normalized,ordinal_midpoint_rate,ordinal_extreme_rate,ordinal_acquiescence,straightlining_max_repeat_rate,bfi_44_mean_norm,bfi_44_n_items,bfi_18_mean_norm,bfi_18_n_items,autonomy_cognition_mean_norm,autonomy_cognition_n_items,personal_values_mean_norm,personal_values_n_items,self_monitoring_mean_norm,self_monitoring_n_items,self_monitoring_binary_mean_norm,self_monitoring_binary_n_items,regulatory_focus_mean_norm,regulatory_focus_n_items,bai_anxiety_mean_norm,bai_anxiety_n_items,bai_sum_score,self_concept_mean_norm,self_concept_n_items,need_uniqueness_mean_norm,need_uniqueness_n_items,need_closure_mean_norm,need_closure_n_items,personality_traits_5pt_mean_norm,personality_traits_5pt_n_items,maximization_mean_norm,maximization_n_items,uncertainty_beliefs_mean_norm,uncertainty_beliefs_n_items,risk_sensitivity_personality_mean_norm,risk_sensitivity_personality_n_items,self_regulation_mean_norm,self_regulation_n_items,spending_scale,spending_difficulty,spending_anxiety,shopper_type,weight_loss_intention,dictator_game_position,ultimatum_offer_position,trust_game_send_position,trust_return_mean_position,ultimatum_reject_rate,hedonic_framing_mean,loss_aversion_risky_choices,loss_aversion_risky_rate,crt_score,crt_total_attempted,numeracy_score,numeracy_total_attempted,financial_literacy_score,financial_literacy_total,vocabulary_synonym_score,vocabulary_synonym_total,vocabulary_antonym_score,vocabulary_antonym_total,vocabulary_total_score,spatial_n_attempted,wason_correct,wason_n_selected,forward_flow_word_count,demo_region,demo_sex,demo_age,demo_education,demo_race,demo_citizenship,demo_occupation,demo_religion,demo_religiosity,demo_political_party,demo_income,demo_political_views,demo_household_size,demo_employment
1vec3,537,0,278,179,65,14,326,168,22,21,0.5660013427268028,0.26676057254351526,0.10429447852760736,0.3895705521472393,2.8650306748466257,0.9166666666666666,0.6181818181818183,44,0.6000000000000001,18,0.5285714285714286,10,0.5972222222222222,24,0.5416666666666667,8,0.6923076923076923,13,0.6333333333333333,12,0.2857142857142857,21,24.0,0.49999999999999983,20,0.5125,16,0.23333333333333336,12,0.26666666666666666,6,0.5256410256410257,13,0.5166666666666667,12,0.7333333333333335,15,0.5333333333333333,6,7.0,3.0,3.0,5.0,2.0,4.0,4.0,11.0,5.0,0.6666666666666666,1.75,0,0.0,2,7,2,6,3,5,2,10,1,10,3,6,0.0,1.0,20,3.0,2.0,4.0,3.0,1.0,1.0,5.0,11.0,1.0,1.0,2.0,1.0,1.0,7.0
1z7bb,537,0,278,179,65,14,326,168,22,21,0.6356494902507173,0.2964374753685708,0.08588957055214724,0.5398773006134969,3.2822085889570554,0.9047619047619048,0.7090909090909091,44,0.6,18,0.7999999999999999,10,0.6898148148148148,24,0.5694444444444444,8,0.8076923076923077,13,0.8000000000000002,12,0.27380952380952384,21,23.0,0.57,20,0.5875,16,0.4333333333333334,12,0.7999999999999999,6,0.8076923076923077,13,0.35000000000000003,12,0.64,15,0.7666666666666667,6,8.0,3.0,2.0,4.0,2.0,6.0,3.0,8.0,6.5,0.3333333333333333,1.5,2,0.2222222222222222,6,7,5,6,3,5,9,10,8,10,17,6,0.0,1.0,20,1.0,1.0,2.0,4.0,1.0,1.0,6.0,12.0,5.0,2.0,1.0,5.0,1.0,4.0
212kx,537,0,278,179,65,14,326,168,22,21,0.6418690588552552,0.2933708017060152,0.05828220858895705,0.5184049079754601,3.291411042944785,0.7333333333333333,0.7000000000000001,44,0.5777777777777778,18,0.7714285714285715,10,0.6666666666666666,24,0.5833333333333333,8,0.8076923076923077,13,0.8833333333333336,12,0.35714285714285715,21,30.0,0.64,20,0.825,16,0.38333333333333336,12,0.4000000000000001,6,0.7564102564102563,13,0.4000000000000001,12,0.9466666666666668,15,0.5333333333333333,6,3.0,2.0,4.0,5.0,2.0,4.0,4.0,9.0,6.25,0.16666666666666666,1.25,3,0.3333333333333333,5,7,5,6,5,5,7,10,9,10,16,6,0.0,1.0,20,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,7.0
293vr,537,0,278,179,65,14,326,168,22,21,0.6196744121590748,0.2876697892426814,0.09202453987730061,0.48773006134969327,3.168711656441718,0.8333333333333334,0.6409090909090909,44,0.5444444444444445,18,0.8428571428571427,10,0.6203703703703703,24,0.5694444444444444,8,0.8461538461538461,13,0.8333333333333334,12,0.44047619047619047,21,37.0,0.6399999999999999,20,0.625,16,0.2833333333333334,12,0.8666666666666666,6,0.5128205128205127,13,0.6333333333333333,12,0.8666666666666668,15,0.7333333333333334,6,9.0,3.0,1.0,1.0,1.0,3.0,1.0,8.0,4.5,0.5,1.5,2,0.2222222222222222,1,7,1,6,4,5,4,10,4,10,8,6,0.0,2.0,20,3.0,2.0,3.0,3.0,1.0,1.0,3.0,12.0,6.0,2.0,1.0,3.0,1.0,5.0
29g1r,537,0,278,179,65,14,326,168,22,21,0.5825582222821487,0.2634611597147594,0.16257668711656442,0.401840490797546,2.9355828220858897,0.9166666666666666,0.6727272727272727,44,0.5666666666666667,18,0.7,10,0.5694444444444445,24,0.5694444444444444,8,0.8076923076923077,13,0.65,12,0.2976190476190476,21,25.0,0.57,20,0.7125,16,0.2166666666666667,12,0.7000000000000001,6,0.5256410256410257,13,0.48333333333333334,12,0.6533333333333332,15,0.6333333333333334,6,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,3.5,0.3333333333333333,1.5,6,0.6666666666666666,1,7,4,6,4,5,7,10,5,10,12,6,0.0,2.0,20,2.0,1.0,2.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0
2bpor,536,0,278,178,65,14,326,168,21,21,0.6084336633032953,0.27876122307857165,0.10429447852760736,0.43558282208588955,3.061349693251534,0.9166666666666666,0.5772727272727273,44,0.5888888888888889,18,0.4999999999999999,10,0.5092592592592592,24,0.625,8,0.8076923076923077,13,0.9833333333333334,12,0.32142857142857145,21,27.0,0.5900000000000001,20,0.625,16,0.4500000000000001,12,0.7666666666666666,6,0.5384615384615384,13,0.4000000000000001,12,0.9066666666666667,15,0.7000000000000001,6,1.0,1.0,5.0,5.0,2.0,4.0,4.0,9.0,5.0,0.16666666666666666,1.5,2,0.2222222222222222,7,7,3,6,4,5,10,10,10,10,20,6,0.0,2.0,20,2.0,2.0,2.0,4.0,3.0,1.0,6.0,10.0,6.0,2.0,1.0,5.0,1.0,4.0
2ea2g,537,0,278,179,65,14,326,168,22,21,0.6253592309190469,0.25371683265472383,0.10736196319018405,0.3496932515337423,3.1993865030674846,0.9047619047619048,0.7000000000000001,44,0.6555555555555557,18,0.6285714285714286,10,0.5972222222222222,24,0.5972222222222222,8,0.7692307692307693,13,0.8666666666666668,12,0.27380952380952384,21,23.0,0.5800000000000001,20,0.7375,16,0.5333333333333333,12,0.3333333333333333,6,0.6923076923076922,13,0.5166666666666667,12,0.7600000000000001,15,0.6,6,3.0,2.0,4.0,2.0,1.0,4.0,4.0,11.0,6.5,0.16666666666666666,1.5,5,0.5555555555555556,3,7,5,6,5,5,6,10,8,10,14,6,0.0,2.0,20,4.0,1.0,2.0,6.0,3.0,1.0,6.0,1.0,5.0,1.0,3.0,2.0,1.0,7.0
2g6k8,537,1,278,179,65,14,326,168,22,21,0.665340941110172,0.27973009935867266,0.05846153846153846,0.46153846153846156,3.36,0.9230769230769231,0.6590909090909091,44,0.588888888888889,18,0.7571428571428571,10,0.6956521739130437,23,0.49999999999999994,8,0.8461538461538461,13,0.8500000000000001,12,0.6190476190476191,21,52.0,0.6399999999999999,20,0.775,16,0.5333333333333335,12,0.9333333333333332,6,0.935897435897436,13,0.4833333333333334,12,0.6666666666666669,15,0.7666666666666666,6,6.0,3.0,2.0,5.0,2.0,3.0,3.0,6.0,3.5,0.3333333333333333,1.5,4,0.4444444444444444,7,7,4,6,5,5,10,10,10,10,20,6,1.0,2.0,20,3.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,1.0
2vz3n,537,0,278,179,65,14,326,168,22,21,0.6414139924492684,0.2860473571460817,0.15337423312883436,0.49693251533742333,3.3006134969325154,0.9047619047619048,0.6590909090909091,44,0.6333333333333333,18,0.6857142857142857,10,0.7824074074074074,24,0.5277777777777778,8,0.7692307692307693,13,0.75,12,0.2857142857142857,21,24.0,0.5900000000000001,20,0.8,16,0.5,12,0.7333333333333334,6,0.6153846153846154,13,0.41666666666666674,12,0.8666666666666668,15,0.6666666666666666,6,5.0,2.0,3.0,3.0,1.0,4.0,4.0,9.0,5.0,0.6666666666666666,1.75,2,0.2222222222222222,5,7,2,6,2,5,3,10,5,10,8,6,0.0,2.0,20,3.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,6.0,2.0,2.0,4.0,2.0,4.0
33a05,537,0,278,179,65,14,326,168,22,21,0.5895905432331813,0.2905129079166011,0.15030674846625766,0.4938650306748466,3.003067484662577,1.0,0.5454545454545454,44,0.6000000000000001,18,0.6285714285714284,10,0.625,24,0.5694444444444444,8,0.9230769230769231,13,0.6,12,0.38095238095238093,21,32.0,0.61,20,0.7125000000000001,16,0.2333333333333334,12,0.19999999999999998,6,0.6153846153846152,13,0.6333333333333334,12,0.7066666666666667,15,0.6333333333333334,6,6.0,2.0,2.0,2.0,1.0,1.0,4.0,9.0,5.0,0.0,1.5,2,0.2222222222222222,5,7,5,6,2,5,9,10,8,10,17,6,0.0,2.0,20,3.0,2.0,2.0,5.0,4.0,1.0,1.0,12.0,6.0,1.0,5.0,3.0,4.0,1.0
3biuj,537,0,278,179,65,14,326,168,22,21,0.6257546986074594,0.3127432416584922,0.0950920245398773,0.6196319018404908,3.233128834355828,0.9523809523809523,0.6727272727272727,44,0.6777777777777777,18,0.6714285714285715,10,0.6203703703703703,24,0.5,8,0.6923076923076923,13,0.6333333333333333,12,0.2619047619047619,21,22.0,0.5299999999999999,20,0.725,16,0.5500000000000002,12,0.7666666666666666,6,0.6923076923076924,13,0.3333333333333334,12,0.7333333333333333,15,0.7666666666666666,6,4.0,2.0,3.0,4.0,2.0,6.0,4.0,16.0,8.5,0.3333333333333333,1.5,5,0.5555555555555556,6,7,5,6,5,5,10,10,10,10,20,6,0.0,2.0,20,2.0,2.0,4.0,5.0,1.0,1.0,6.0,12.0,6.0,2.0,2.0,4.0,1.0,1.0
3d56s,537,1,278,179,65,14,326,168,22,21,0.6409724335493566,0.3256579375442446,0.055384615384615386,0.6646153846153846,3.313846153846154,1.0,0.6727272727272727,44,0.5666666666666667,18,0.6984126984126984,9,0.8796296296296297,24,0.5555555555555556,8,0.8846153846153846,13,0.6333333333333334,12,0.25,21,21.0,0.5599999999999998,20,0.9125,16,0.4833333333333334,12,0.8666666666666667,6,0.717948717948718,13,0.3333333333333334,12,0.7866666666666667,15,0.5333333333333333,6,6.0,2.0,2.0,2.0,2.0,1.0,4.0,9.0,5.5,0.16666666666666666,1.5,2,0.2222222222222222,5,7,5,6,5,5,8,10,8,10,16,6,0.0,1.0,20,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0
3uy58,537,0,278,179,65,14,326,168,22,21,0.586172722982539,0.2754378887369948,0.0950920245398773,0.4294478527607362,3.0153374233128836,0.8333333333333334,0.5954545454545453,44,0.5666666666666668,18,0.7428571428571428,10,0.5972222222222222,24,0.5833333333333333,8,0.6538461538461539,13,0.5666666666666668,12,0.32142857142857145,21,27.0,0.6199999999999999,20,0.8125,16,0.25,12,0.5666666666666668,6,0.6666666666666666,13,0.55,12,0.5866666666666667,15,0.6,6,5.0,2.0,3.0,2.0,2.0,3.0,5.0,8.0,5.25,0.0,1.75,4,0.4444444444444444,4,7,2,6,2,5,9,10,7,10,16,6,0.0,2.0,20,3.0,1.0,4.0,2.0,1.0,1.0,1.0,11.0,1.0,4.0,2.0,3.0,2.0,7.0
3wglb,537,0,278,179,65,14,326,168,22,21,0.6108949545682675,0.3061654084658279,0.10122699386503067,0.5797546012269938,3.1411042944785277,0.8333333333333334,0.5818181818181819,44,0.5888888888888889,18,0.5857142857142856,10,0.7037037037037037,24,0.5,8,0.7307692307692307,13,0.9333333333333332,12,0.36904761904761907,21,31.0,0.6699999999999999,20,0.7,16,0.23333333333333336,12,0.7333333333333333,6,0.7692307692307693,13,0.3666666666666667,12,0.8400000000000001,15,0.7333333333333334,6,6.0,1.0,1.0,1.0,1.0,4.0,4.0,9.0,5.0,0.16666666666666666,1.75,3,0.3333333333333333,3,7,3,6,5,5,7,10,6,10,13,6,0.0,2.0,20,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,4.0,7.0
4kx6v,537,0,278,179,65,14,326,168,22,21,0.5268855760803614,0.25685122575058045,0.17791411042944785,0.4171779141104294,2.638036809815951,0.8571428571428571,0.6227272727272727,44,0.5333333333333334,18,0.6428571428571428,10,0.5416666666666666,24,0.5,8,0.6153846153846154,13,0.4166666666666667,12,0.2857142857142857,21,24.0,0.48,20,0.7375,16,0.2833333333333334,12,0.6666666666666666,6,0.4358974358974359,13,0.38333333333333336,12,0.49333333333333335,15,0.2333333333333333,6,6.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.5,0.0,1.75,2,0.2222222222222222,4,7,4,6,3,5,7,10,6,10,13,6,0.0,2.0,20,2.0,2.0,4.0,3.0,1.0,1.0,1.0,10.0,6.0,2.0,2.0,3.0,2.0,7.0
4p3l9,537,0,278,179,65,14,326,168,22,21,0.6003827333198499,0.29840690821675586,0.10122699386503067,0.549079754601227,3.088957055214724,1.0,0.6045454545454545,44,0.5555555555555556,18,0.7285714285714285,10,0.5787037037037037,24,0.5138888888888888,8,0.6538461538461539,13,0.9500000000000001,12,0.25,21,21.0,0.4999999999999999,20,0.6375,16,0.5166666666666667,12,0.9666666666666667,6,0.6410256410256411,13,0.3333333333333334,12,0.8133333333333334,15,0.6,6,3.0,2.0,3.0,4.0,2.0,4.0,4.0,9.0,5.0,0.0,1.5,2,0.2222222222222222,4,7,5,6,5,5,9,10,8,10,17,6,0.0,2.0,20,1.0,2.0,3.0,5.0,1.0,1.0,6.0,12.0,6.0,2.0,3.0,4.0,1.0,7.0
4th4n,537,0,278,179,65,14,326,168,22,21,0.7063511726855285,0.25117292639786915,0.0736196319018405,0.41411042944785276,3.7116564417177913,0.8333333333333334,0.740909090909091,44,0.6888888888888889,18,0.8857142857142856,10,0.9583333333333334,24,0.6527777777777777,8,0.8076923076923077,13,0.9500000000000001,12,0.36904761904761907,21,31.0,0.67,20,0.8375000000000001,16,0.8500000000000001,12,0.8999999999999999,6,0.8333333333333335,13,0.4500000000000001,12,0.6533333333333334,15,0.7333333333333333,6,8.0,3.0,3.0,1.0,1.0,4.0,3.0,10.0,5.75,0.5,1.5,1,0.1111111111111111,6,7,4,6,3,5,4,10,2,10,6,6,0.0,2.0,20,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0
4wbsc,537,0,278,179,65,14,326,168,22,21,0.5899319834902657,0.2743207381422736,0.06134969325153374,0.4263803680981595,3.0,0.8095238095238095,0.6590909090909092,44,0.5666666666666668,18,0.6142857142857142,10,0.6388888888888888,24,0.4444444444444444,8,0.7307692307692307,13,0.8000000000000002,12,0.30952380952380953,21,26.0,0.6399999999999999,20,0.6375,16,0.38333333333333336,12,0.9333333333333332,6,0.6153846153846154,13,0.5166666666666667,12,0.5466666666666667,15,0.43333333333333335,6,5.0,2.0,3.0,4.0,1.0,1.0,3.0,8.0,4.5,0.16666666666666666,1.5,4,0.4444444444444444,6,7,5,6,5,5,7,10,5,10,12,6,0.0,2.0,20,2.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,5.0,4.0,2.0,1.0
4wcis,537,0,278,179,65,14,326,168,22,21,0.6123895574432384,0.25722814594066773,0.1656441717791411,0.38650306748466257,3.138036809815951,0.8095238095238095,0.6909090909090909,44,0.5666666666666668,18,0.757142857142857,10,0.625,24,0.5555555555555556,8,0.7692307692307693,13,0.5333333333333333,12,0.32142857142857145,21,27.0,0.62,20,0.7125,16,0.3666666666666667,12,0.6333333333333333,6,0.6538461538461539,13,0.38333333333333336,12,0.68,15,0.5333333333333333,6,8.0,3.0,2.0,2.0,2.0,2.0,4.0,9.0,6.25,0.16666666666666666,1.5,3,0.3333333333333333,7,7,5,6,5,5,10,10,10,10,20,6,0.0,1.0,20,1.0,2.0,2.0,6.0,1.0,1.0,6.0,9.0,6.0,2.0,5.0,4.0,3.0,4.0
56vwl,537,0,278,179,65,14,326,168,22,21,0.6616289598268126,0.25657863643596396,0.06748466257668712,0.37116564417177916,3.3773006134969323,0.6666666666666666,0.6954545454545454,44,0.5666666666666668,18,0.6428571428571429,10,0.7222222222222222,24,0.5277777777777778,8,0.8076923076923077,13,0.8166666666666668,12,0.40476190476190477,21,34.0,0.62,20,0.825,16,0.6833333333333332,12,0.6666666666666666,6,0.8333333333333334,13,0.6666666666666666,12,0.6400000000000001,15,0.6666666666666666,6,9.0,4.0,2.0,2.0,1.0,4.0,4.0,11.0,5.0,0.3333333333333333,1.5,5,0.5555555555555556,7,7,5,6,4,5,9,10,9,10,18,6,0.0,1.0,20,2.0,2.0,2.0,6.0,4.0,1.0,6.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0
