question_id,parent_question_id,block_name,question_type,selector,answer_type,question_text,sub_item_text,full_question,options,num_options
QID124,QID124,Cognitive tests,TE,SL,text,"How many of these questions do you think you people from a representative sample of the US adult population would answer correctly, on average? Enter a number between 0 and 42.",,"How many of these questions do you think you people from a representative sample of the US adult population would answer correctly, on average? Enter a number between 0 and 42.",,0
QID125_r1,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Numbness or tingling,How much have you been bothered by each of the following symptoms over the past week? - Numbness or tingling,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r10,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Feeling of choking,How much have you been bothered by each of the following symptoms over the past week? - Feeling of choking,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r11,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Hands trembling,How much have you been bothered by each of the following symptoms over the past week? - Hands trembling,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r12,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Shaky,How much have you been bothered by each of the following symptoms over the past week? - Shaky,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r13,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Fear of losing control,How much have you been bothered by each of the following symptoms over the past week? - Fear of losing control,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r14,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Difficulty breathing,How much have you been bothered by each of the following symptoms over the past week? - Difficulty breathing,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r15,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Fear of dying,How much have you been bothered by each of the following symptoms over the past week? - Fear of dying,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r16,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Scared,How much have you been bothered by each of the following symptoms over the past week? - Scared,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r17,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Indigestion or discomfort in abdomen,How much have you been bothered by each of the following symptoms over the past week? - Indigestion or discomfort in abdomen,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r18,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Faint,How much have you been bothered by each of the following symptoms over the past week? - Faint,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r19,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Face flushed,How much have you been bothered by each of the following symptoms over the past week? - Face flushed,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r2,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Feeling hot,How much have you been bothered by each of the following symptoms over the past week? - Feeling hot,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r20,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Sweating (not due to heat),How much have you been bothered by each of the following symptoms over the past week? - Sweating (not due to heat),"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r21,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Heart pounding or racing,How much have you been bothered by each of the following symptoms over the past week? - Heart pounding or racing,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r3,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Wobbliness in legs,How much have you been bothered by each of the following symptoms over the past week? - Wobbliness in legs,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r4,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Unable to relax,How much have you been bothered by each of the following symptoms over the past week? - Unable to relax,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r5,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Fear of the worst happening,How much have you been bothered by each of the following symptoms over the past week? - Fear of the worst happening,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r6,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Dizzy or lightheaded,How much have you been bothered by each of the following symptoms over the past week? - Dizzy or lightheaded,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r7,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Unsteady,How much have you been bothered by each of the following symptoms over the past week? - Unsteady,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r8,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Terrified,How much have you been bothered by each of the following symptoms over the past week? - Terrified,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID125_r9,QID125,Personality,Matrix,Likert,ordinal,How much have you been bothered by each of the following symptoms over the past week?,Nervous,How much have you been bothered by each of the following symptoms over the past week? - Nervous,"[""Not at all 0"", ""1"", ""2"", ""Severely - I barely could stand it 3""]",4
QID126,QID126,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel sad"", ""I feel sad"", ""I am sad all the time and I can't snap out of it"", ""I am so sad or unhappy that I can't stand it""]",4
QID128,QID128,Personality,MC_multi,MAVR,multi_select,,,,"[""I am not particularly discouraged about the future"", ""I feel discouraged about the future"", ""I feel that I have nothing to look forward to"", ""I feel that the future is hopeless and that things cannot improve""]",4
QID129,QID129,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel like a failure"", ""I feel that I have failed more than the average person"", ""As I look back on my life, all I can see is a lot of failures"", ""I feel I am a complete failure as a person""]",4
QID13,QID13,Demographics,MC,SAVR,ordinal,How old are you?,,How old are you?,"[""18-29"", ""30-49"", ""50-64"", ""65+""]",4
QID130,QID130,Personality,MC_multi,MAVR,multi_select,,,,"[""I get as much satisfaction out of things as I used to"", ""I don't enjoy things the way I used to"", ""I don't get real satisfaction out of anything anymore"", ""I am dissatisfied or bored with everything""]",4
QID131,QID131,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel particularly guilty"", ""I feel guilty a good part of the time"", ""I feel guilty most of the time"", ""I feel guilty all the time""]",4
QID132,QID132,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel I am being punished"", ""I feel I may be punished"", ""I expect to be punished"", ""I feel I am being punished""]",4
QID133,QID133,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel disappointed in myself"", ""I feel disappointed in myself"", ""I am disgusted with myself"", ""I hate myself""]",4
QID134,QID134,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel I am worse than anybody else"", ""I am critical of myself for my weaknesses or mistakes"", ""I blame myself all the time for my faults"", ""I blame myself for everything bad that happens""]",4
QID136,QID136,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't cry any more than usual"", ""I cry more than I used to"", ""I cry all the time now"", ""I used to be able to cry, but now I can't cry even though I want to""]",4
QID137,QID137,Personality,MC_multi,MAVR,multi_select,,,,"[""I am no more irritated now than I ever am"", ""I get annoyed or irritated more easily than I used to"", ""I feel irritated all the time now"", ""I don't get irrirtted at all by the things that used to irritate me""]",4
QID138,QID138,Personality,MC_multi,MAVR,multi_select,,,,"[""I have not lost interest in other people"", ""I am less interested in other people than I used to be"", ""I have lost most of my interest in other people"", ""I have lost all of my interest in other people""]",4
QID139,QID139,Personality,MC_multi,MAVR,multi_select,,,,"[""I make decisions about as well as I ever could"", ""I put off making decisions more than I used to"", ""I have greater difficulty in making decisions than before"", ""I can't make decisions at all anymore""]",4
QID14,QID14,Demographics,MC,SAVR,ordinal,What is the highest level of schooling or degree that you have completed?,,What is the highest level of schooling or degree that you have completed?,"[""Less than high school"", ""High school graduate"", ""Some college, no degree"", ""Associate's degree"", ""College graduate/some postgrad"", ""Postgraduate""]",6
QID140,QID140,Personality,MC_multi,MAVR,multi_select,,,,"[""I don't feel that I am worthless"", ""I don\u2019t consider myself as worthwhile and useful as I used to"", ""I feel more worthless as compared to other people"", ""I feel utterly worthless""]",4
QID141,QID141,Personality,MC_multi,MAVR,multi_select,,,,"[""I can work about as well as before"", ""It takes an extra effort to get started at doing something"", ""I have to push myself very hard to do anything"", ""I can\u2019t do any work at all""]",4
QID142,QID142,Personality,MC_multi,MAVR,multi_select,,,,"[""I can sleep as well as usual"", ""I don\u2019t sleep as well as usual"", ""I wake up 1-2 hours earlier than usual and find it hard to get back to sleep"", ""I wake up several hours earlier than I used to and cannot get back to sleep""]",4
QID143,QID143,Personality,MC_multi,MAVR,multi_select,,,,"[""I don\u2019t get more tired than usual"", ""I get tired more easily than I used to"", ""I get tired from doing almost anything"", ""I am too tired to do anything""]",4
QID144,QID144,Personality,MC_multi,MAVR,multi_select,,,,"[""My appetite is no worse than usual"", ""My appetite is not as good as it used to be"", ""My appetite is much worse now"", ""I have no appetite at all anymore""]",4
QID145,QID145,Personality,MC_multi,MAVR,multi_select,,,,"[""I haven\u2019t lost much weight, if any, lately"", ""I have lost more than 5 pounds"", ""I have lost more than 10 pounds"", ""I have lost more than 15 pounds""]",4
QID146,QID146,Personality,MC_multi,MAVR,multi_select,,,,"[""I am no more worried about my health than usual"", ""I am worried about physical problems such as aches and pains; or upset stomach; or constipation"", ""I am very worried about physical problems and it\u2019s hard to think of much else"", ""I am so worried about my physical problems that I cannot think about anything else""]",4
QID147,QID147,Personality,MC_multi,MAVR,multi_select,,,,"[""I have not noticed any recent change in my interest in sex"", ""I am less interested in sex than I used to be"", ""I am much less interested in sex now"", ""I have lost interest in sex completely""]",4
QID148,QID148,Personality,MC,SAVR,ordinal,I am purposely trying to lose weight by eating less,,I am purposely trying to lose weight by eating less,"[""Yes"", ""No""]",2
QID149,QID149,Economic preferences,MC,SAVR,ordinal,"Person A was given tickets to lotteries involving the World Series. They won $50 in one lottery and $25 in the other. Person B was given a ticket to a single, larger World Series lottery. They won $75. Who was happier?",,"Person A was given tickets to lotteries involving the World Series. They won $50 in one lottery and $25 in the other. Person B was given a ticket to a single, larger World Series lottery. They won $75. Who was happier?","[""Person A"", ""Person B""]",2
QID15,QID15,Demographics,MC,SAVR,ordinal,What is your race or origin?,,What is your race or origin?,"[""White"", ""Black"", ""Asian"", ""Hispanic"", ""Other""]",5
QID150,QID150,Economic preferences,MC,SAVR,ordinal,Person A received a letter from the IRS saying that they made a minor arithmetical mistake on their tax return and owed $100. They received a similar letter the same day from their state income tax authority saying they owed $50. There were no other repercussions from either mistake. Person B received a letter from the IRS saying that they made a minor arithmetical mistake on their tax return and owed $150. There were no other repercussions from either mistake. Who was more upset?,,Person A received a letter from the IRS saying that they made a minor arithmetical mistake on their tax return and owed $100. They received a similar letter the same day from their state income tax authority saying they owed $50. There were no other repercussions from either mistake. Person B received a letter from the IRS saying that they made a minor arithmetical mistake on their tax return and owed $150. There were no other repercussions from either mistake. Who was more upset?,"[""Person A"", ""Person B""]",2
QID151,QID151,Economic preferences,MC,SAVR,ordinal,"Person A bought their first New York State lottery ticket and won $100. Also, in a freak accident, they damaged the rug in their apartment and had to pay the landlord $80. Person B bought their first New York State lottery ticket and won $20. Who was happier?",,"Person A bought their first New York State lottery ticket and won $100. Also, in a freak accident, they damaged the rug in their apartment and had to pay the landlord $80. Person B bought their first New York State lottery ticket and won $20. Who was happier?","[""Person A"", ""Person B""]",2
QID152,QID152,Economic preferences,MC,SAVR,ordinal,"Person A's car was damaged in a parking lot. They had to spend $200 to repair the damage. The same day the car was damaged, they won $25 in the office football pool. Person B's car was damaged in a parking lot. They had to spend $175 to repair the damage. Who was more upset?",,"Person A's car was damaged in a parking lot. They had to spend $200 to repair the damage. The same day the car was damaged, they won $25 in the office football pool. Person B's car was damaged in a parking lot. They had to spend $175 to repair the damage. Who was more upset?","[""Person A"", ""Person B""]",2
QID16,QID16,Demographics,MC,SAVR,ordinal,Are you a citizen of the United States?,,Are you a citizen of the United States?,"[""Yes"", ""No""]",2
QID17,QID17,Demographics,MC,SAVR,ordinal,Which of these best describes you?,,Which of these best describes you?,"[""Married"", ""Living with a partner"", ""Divorced"", ""Separated"", ""Widowed"", ""Never been married""]",6
QID18,QID18,Demographics,MC,SAVR,ordinal,"What is your present religion, if any?",,"What is your present religion, if any?","[""Protestant"", ""Roman Catholic"", ""Mormon"", ""Orthodox"", ""Jewish"", ""Muslim"", ""Buddhist"", ""Hindu"", ""Atheist"", ""Agnostic"", ""Other"", ""Nothing in particular""]",12
QID19,QID19,Demographics,MC,SAVR,ordinal,"Aside from weddings and funerals, how often do you attend religious services?",,"Aside from weddings and funerals, how often do you attend religious services?","[""More than once a week"", ""Once a week"", ""Once or twice a month"", ""A few times a year"", ""Seldom"", ""Never""]",6
QID20,QID20,Demographics,MC,SAVR,ordinal,"In politics today, do you consider yourself a",,"In politics today, do you consider yourself a","[""Republican"", ""Democrat"", ""Independent"", ""Something else""]",4
QID21,QID21,Demographics,MC,SAVR,ordinal,"Last year, what was your total family income from all sources, before taxes?",,"Last year, what was your total family income from all sources, before taxes?","[""Less than $30,000"", ""$30,000-$50,000"", ""$50,000-$75,000"", ""$75,000-$100,000"", ""$100,000 or more""]",5
QID217,QID217,Cognitive tests,MC,SAVR,ordinal,"You are now going to receive a series of four problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premises are all true and limit yourself only to the information contained in these premises. Premise 1: If there is a postal strike, then unemployment will double. Premise 2: There is a postal strike. Conclusion: Unemployment will double. Does the conclusion follow logically from the premises ?",,"You are now going to receive a series of four problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premises are all true and limit yourself only to the information contained in these premises. Premise 1: If there is a postal strike, then unemployment will double. Premise 2: There is a postal strike. Conclusion: Unemployment will double. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",2
QID218,QID218,Cognitive tests,MC,SAVR,ordinal,"Premise 1: If the winter is harsh, then there will be a flu epidemic. Premise 2: The winter is harsh. Conclusion: There will be a flu epidemic. Does the conclusion follow logically from the premises ?",,"Premise 1: If the winter is harsh, then there will be a flu epidemic. Premise 2: The winter is harsh. Conclusion: There will be a flu epidemic. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",2
QID219,QID219,Cognitive tests,MC,SAVR,ordinal,"Premise 1: If a car is a Honda, then it is expensive. Premise 2: A car is a Honda. Conclusion: The car is expensive. Does the conclusion follow logically from the premises ?",,"Premise 1: If a car is a Honda, then it is expensive. Premise 2: A car is a Honda. Conclusion: The car is expensive. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",2
QID22,QID22,Demographics,MC,SAVR,ordinal,"In general, would you describe your political views as",,"In general, would you describe your political views as","[""Very conservative"", ""Conservative"", ""Moderate"", ""Liberal"", ""Very liberal""]",5
QID220,QID220,Cognitive tests,MC,SAVR,ordinal,"Premise 1: If a person eats hamburgers, then they will get cancer. Premise 2: A person eats hamburgers. Conclusion: The person will get cancer. Does the conclusion follow logically from the premises ?",,"Premise 1: If a person eats hamburgers, then they will get cancer. Premise 2: A person eats hamburgers. Conclusion: The person will get cancer. Does the conclusion follow logically from the premises ?","[""Yes"", ""No""]",2
QID221,QID221,Cognitive tests,MC_multi,MAHR,multi_select,"Imagine you see a number of cards from a set of cards. Each card in the set has a capital letter on one side and a number on the other. Naturally, only one side is visible in each case. For the set of cards, a rule has been stated: If there is an A on the letter side of the card, then there is a 3 on the number side. Four cards were drawn. Below is the information visible for each card (letter or number). Which of the following card(s) would have to be turned over in order to test the truth or falsity of the rule?",,"Imagine you see a number of cards from a set of cards. Each card in the set has a capital letter on one side and a number on the other. Naturally, only one side is visible in each case. For the set of cards, a rule has been stated: If there is an A on the letter side of the card, then there is a 3 on the number side. Four cards were drawn. Below is the information visible for each card (letter or number). Which of the following card(s) would have to be turned over in order to test the truth or falsity of the rule?","[""A"", ""F"", ""3"", ""7""]",4
QID224,QID224,Economic preferences,MC,SAVR,ordinal,"Suppose you were given $5 and had to offer to another (anonymous) person a way to split the money. You would propose how much of this money to keep for yourself and how much to send them. Then, the other person would have to decide whether or not to accept your offer. If they accept your offer, you would each receive the amount specified in your offer. If they reject your offer, you would both receive nothing. In this scenario, how much would propose to keep for yourself and how much would you propose to send to the other person?",,"Suppose you were given $5 and had to offer to another (anonymous) person a way to split the money. You would propose how much of this money to keep for yourself and how much to send them. Then, the other person would have to decide whether or not to accept your offer. If they accept your offer, you would each receive the amount specified in your offer. If they reject your offer, you would both receive nothing. In this scenario, how much would propose to keep for yourself and how much would you propose to send to the other person?","[""$0 for myself, $5 to the other person."", ""$1 for myself, $4 to the other person."", ""$2 for myself, $3 to the other person."", ""$3 for myself, $2 to the other person."", ""$4 for myself, $1 to the other person."", ""$5 for myself, $0 to the other person.""]",6
QID225,QID225,Economic preferences,MC,SAVR,ordinal,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each offer made by the sender, would you accept or reject the offer? If the person offers to keep $0 for themselves and send me $5:",,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each offer made by the sender, would you accept or reject the offer? If the person offers to keep $0 for themselves and send me $5:","[""I would accept the offer: $0 for other, $5 for me"", ""I would reject the offer: $0 for both""]",2
QID226,QID226,Economic preferences,MC,SAVR,ordinal,If the person offers to keep $1 for themselves and send me $4:,,If the person offers to keep $1 for themselves and send me $4:,"[""I would accept the offer: $1 for other, $4 for me"", ""I would reject the offer: $0 for both""]",2
QID227,QID227,Economic preferences,MC,SAVR,ordinal,If the person offers to keep $2 for themselves and send me $3:,,If the person offers to keep $2 for themselves and send me $3:,"[""I would accept the offer: $2 for other, $3 for me"", ""I would reject the offer: $0 for both""]",2
QID228,QID228,Economic preferences,MC,SAVR,ordinal,If the person offers to keep $3 for themselves and send me $2:,,If the person offers to keep $3 for themselves and send me $2:,"[""I would accept the offer: $3 for other, $2 for me"", ""I would reject the offer: $0 for both""]",2
QID229,QID229,Economic preferences,MC,SAVR,ordinal,If the person offers to keep $4 for themselves and send me $1:,,If the person offers to keep $4 for themselves and send me $1:,"[""I would accept the offer: $4 for other, $1 for me"", ""I would reject the offer: $0 for both""]",2
QID23,QID23,Demographics,MC,SAVR,ordinal,"Including yourself, how many people currently live in your household?",,"Including yourself, how many people currently live in your household?","[""1"", ""2"", ""3"", ""4"", ""More than 4""]",5
QID230,QID230,Economic preferences,MC,SAVR,ordinal,If the person offers to keep $5 for themselves and send me $0:,,If the person offers to keep $5 for themselves and send me $0:,"[""I would accept the offer: $5 for other, $0 for me"", ""I would reject the offer: $0 for both""]",2
QID231,QID231,Economic preferences,MC,SAVR,ordinal,"Suppose you were given $5 and had to split the money between yourself and another (anonymous) person. You and you only would decide how to split the money, the other person would need to accept your offer. In this scenario, how much would keep for yourself and how much would you send to the other person?",,"Suppose you were given $5 and had to split the money between yourself and another (anonymous) person. You and you only would decide how to split the money, the other person would need to accept your offer. In this scenario, how much would keep for yourself and how much would you send to the other person?","[""$0 for myself, $5 to the other person."", ""$1 for myself, $4 to the other person."", ""$2 for myself, $3 to the other person."", ""$3 for myself, $2 to the other person."", ""$4 for myself, $1 to the other person."", ""$5 for myself, $0 to the other person.""]",6
QID232_r1,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,My friends’ emotions don’t affect me much.,Please indicate your agreement with each of the following statements about yourself. - My friends’ emotions don’t affect me much.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
QID232_r10,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,I can usually work out when my friends are scared.,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when my friends are scared.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
QID232_r11,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,I often become sad when watching sad things on TV or in films.,Please indicate your agreement with each of the following statements about yourself. - I often become sad when watching sad things on TV or in films.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
QID232_r12,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,I can often understand how people are feeling even before they tell me.,Please indicate your agreement with each of the following statements about yourself. - I can often understand how people are feeling even before they tell me.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
QID232_r13,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,Seeing a person who has been angered has no effect on my feelings.,Please indicate your agreement with each of the following statements about yourself. - Seeing a person who has been angered has no effect on my feelings.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
QID232_r14,QID232,Personality,Matrix,Likert,ordinal,Please indicate your agreement with each of the following statements about yourself.,I can usually work out when people are cheerful.,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when people are cheerful.,"[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",5
